name_of_school,school_code,location/province,location/district,location/gps,location/_gps_latitude,location/_gps_longitude,location/_gps_altitude,location/_gps_precision,public_private,school_sponsor,institution_type1,institution_type2,total_enrolment,total_teachers,total_number_of_classrooms,boys_toilets,girls_toilets,total_toilets,pupil_teacher_ratio,pupil_classroom_ratio,pupil_toilet_ratio,meta/instanceID,_uuid,_submission_time,_tags,_notes,_version,_duration,_submitted_by
karucho primary,622,central,kirinyaga,-0.504939 37.385198,,,,,public,religious_organization,mixed,day_only,568,16,19,18,14,32,35.5,29.9,17.8,uuid:30b02c98-63fe-42b7-8263-a745beb7935d,30b02c98-63fe-42b7-8263-a745beb7935d,2013-03-04T08:22:55,,,201605172039,,
kahuru primary,800,central,nyeri,-0.458342 37.16117,,,,,public,religious_organization,mixed,day_only,292,8,8,5,10,15,36.5,36.5,19.5,uuid:18e90bc0-66b9-45c8-b99e-2bf1739130ba,18e90bc0-66b9-45c8-b99e-2bf1739130ba,2013-03-04T08:23:27,,,201605172039,,
gatugura primary,673,central,kirinyaga,-0.452951 37.312176,,,,,public,religious_organization,mixed,day_only,660,17,25,33,18,51,38.8,26.4,12.9,uuid:1a4c6d25-43c5-4045-8483-cd5ab4dfec05,1a4c6d25-43c5-4045-8483-cd5ab4dfec05,2013-03-04T08:23:14,,,201605172039,,
gitumbi sda primary,637,central,kirinyaga,-0.418671 37.394661,,,,,private,religious_organization,mixed,day_and_boarding,99,10,12,7,4,11,9.9,8.3,9,uuid:eb776ebf-6137-4b32-8817-057dfaf80b68,eb776ebf-6137-4b32-8817-057dfaf80b68,2013-03-04T08:22:51,,,201605172039,,
rev wajee elite academy primary school,51,central,nyeri,-0.564946 37.079286,,,,,private,religious_organization,mixed,day_only,11,4,4,1,1,2,2.8,2.8,5.5,uuid:961ea72c-4f54-46ae-bb61-1f34cdd8a400,961ea72c-4f54-46ae-bb61-1f34cdd8a400,2013-03-04T08:14:26,,,201605172039,,
kerugoya pcea academy,778,central,kirinyaga,-0.497497 37.274997,,,,,private,religious_organization,mixed,day_only,72,6,6,3,3,6,12,12,12,uuid:c72f8b2a-0e48-4f18-bc74-19fdd8f2f20c,c72f8b2a-0e48-4f18-bc74-19fdd8f2f20c,2013-03-04T08:24:29,,,201605172039,,
kiamwathi primary,675,central,kirinyaga,-0.493204 37.328313,,,,,public,religious_organization,mixed,day_only,657,18,25,24,25,49,36.5,26.3,13.4,uuid:970d0c5b-4b95-4349-8a54-ff72edff105e,970d0c5b-4b95-4349-8a54-ff72edff105e,2013-03-04T08:22:52,,,201605172039,,
gatwe primary,611,central,kirinyaga,-0.436251 37.238787,,,,,public,religious_organization,mixed,day_only,817,32,26,16,22,38,25.5,31.4,21.5,uuid:9a5eb44a-7ebd-4600-8449-34fb3acdfebb,9a5eb44a-7ebd-4600-8449-34fb3acdfebb,2013-03-04T08:22:53,,,201605172039,,
kigumo primary,1279,central,maragua,-0.797724 36.953676,,,,,public,central_government,mixed,day_only,550,27,26,24,16,40,20.4,21.2,13.8,uuid:60a28a81-3a59-490a-9984-dbf0e2d6507d,60a28a81-3a59-490a-9984-dbf0e2d6507d,2013-03-04T08:31:39,,,201605172039,,
kaharati primary school,1204,central,maragua,-0.839903 37.148553,,,,,public,religious_organization,mixed,day_only,627,16,16,16,8,24,39.2,39.2,26.1,uuid:2deb68e8-276d-4b93-9b5b-af9a14d17df4,2deb68e8-276d-4b93-9b5b-af9a14d17df4,2013-03-04T08:31:40,,,201605172039,,
st pauls kutus special unit,719,central,kirinyaga,-0.576439 37.322495,,,,,public,religious_organization,mixed,day_only,15,2,1,8,6,14,7.5,15,1.1,uuid:b6d5d0fd-9047-47e7-994b-64be11bdfd2f,b6d5d0fd-9047-47e7-994b-64be11bdfd2f,2013-03-04T08:23:59,,,201605172039,,
kamunganga primary,1286,central,maragua,-0.783672 36.97921,,,,,public,religious_organization,boys_only,day_only,524,16,28,18,22,40,32.8,18.7,13.1,uuid:cd371b91-80c8-4303-963c-b8c898aef6a8,cd371b91-80c8-4303-963c-b8c898aef6a8,2013-03-04T08:31:41,,,201605172039,,
pcea njathaini primary,890,central,nyeri,-0.386284 37.106355,,,,,public,central_government,mixed,day_only,200,7,10,2,7,9,28.6,20,22.2,uuid:152c8b61-2597-426e-8e71-00c86ceb96ad,152c8b61-2597-426e-8e71-00c86ceb96ad,2013-03-04T08:25:32,,,201605172039,,
ichagaki primary school,1259,central,maragua,-0.807343 37.087844,,,,,public,local_government,mixed,day_only,647,15,24,16,18,34,43.1,27,19,uuid:05d64aa5-30f7-4601-a839-1f35fc5f35ea,05d64aa5-30f7-4601-a839-1f35fc5f35ea,2013-03-04T08:31:35,,,201605172039,,
githima primary school,1269,central,maragua,-0.822725 37.006405,,,,,public,religious_organization,mixed,day_only,779,19,22,20,19,39,41,35.4,20,uuid:65b36c44-1ea5-443e-8554-0a8eb7062739,65b36c44-1ea5-443e-8554-0a8eb7062739,2013-03-04T08:31:32,,,201605172039,,
cgm st. michael academy primary,1240,central,maragua,-0.787619 37.029571,,,,,private,religious_organization,mixed,day_only,9,2,2,1,1,2,4.5,4.5,4.5,uuid:2a44addf-f81c-4f18-9409-ce4bab8a06a2,2a44addf-f81c-4f18-9409-ce4bab8a06a2,2013-03-04T08:31:33,,,201605172039,,
mathare ini primary,1272,central,maragua,-0.81807 36.975173,,,,,public,religious_organization,mixed,day_only,469,14,19,15,18,33,33.5,24.7,14.2,uuid:ab6c0274-0438-4033-bbbd-712e18e5593d,ab6c0274-0438-4033-bbbd-712e18e5593d,2013-03-04T08:31:32,,,201605172039,,
father's house christian primary school,386,central,thika,-1.127348 36.968463,,,,,private,religious_organization,mixed,day_and_boarding,66,9,9,4,4,8,7.3,7.3,8.3,uuid:6e665e9e-59aa-4a12-b4d0-6127311ef70b,6e665e9e-59aa-4a12-b4d0-6127311ef70b,2013-03-04T08:18:31,,,201605172039,,
kavote primary,697,central,kirinyaga,-0.430777 37.32679,,,,,public,religious_organization,mixed,day_only,553,17,16,0,0,0,32.5,34.6,n/a,uuid:89be035f-c39b-4c5a-8f10-d8340f85cf15,89be035f-c39b-4c5a-8f10-d8340f85cf15,2013-03-04T08:22:08,,,201605172039,,
gathima ini primary,1219,central,maragua,-0.851336 37.040256,,,,,public,religious_organization,mixed,day_only,680,17,17,14,16,30,40,40,22.7,uuid:b2253a80-0052-4af6-b10b-59ca98642ac8,b2253a80-0052-4af6-b10b-59ca98642ac8,2013-03-04T08:31:28,,,201605172039,,
mucagara primary,692,central,kirinyaga,-0.463107 37.363859,,,,,public,religious_organization,mixed,day_only,332,12,11,9,14,23,27.7,30.2,14.4,uuid:4f7c1e0e-9486-457e-b0c4-15b00e4e70d1,4f7c1e0e-9486-457e-b0c4-15b00e4e70d1,2013-03-04T08:22:06,,,201605172039,,
kutus muslim primary,721,central,kirinyaga,-0.568347 37.322245,,,,,private,religious_organization,mixed,day_only,28,1,1,1,1,2,28,28,14,uuid:934d26bc-96f7-4aca-9c63-df988a924fff,934d26bc-96f7-4aca-9c63-df988a924fff,2013-03-04T08:24:00,,,201605172039,,
